y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.5,249.0,2012.0,70.0,56.0,12.0,19.0
3.75,219.0,2008.0,70.0,32.0,11.0,37.0
3.0,0.0,2015.0,70.0,18.0,12.0,59.0
3.5,65.0,2008.0,55.0,14.0,8.0,19.0
3.5,337.0,2015.0,70.0,2.0,11.0,37.0
3.25,1.0,2013.0,75.0,6.0,8.0,4.0
4.0,189.0,2014.0,70.0,56.0,12.0,46.0
2.0,176.0,2009.0,80.0,14.0,8.0,19.0
3.0,391.0,2009.0,70.0,55.0,12.0,46.0
3.0,392.0,2016.0,74.0,56.0,6.0,67.0
3.75,337.0,2016.0,67.0,2.0,12.0,1.0
1.0,104.0,2006.0,70.0,4.0,12.0,63.0
3.5,0.0,2014.0,70.0,18.0,12.0,13.0
3.0,374.0,2016.0,60.0,56.0,6.0,46.0
3.25,341.0,2016.0,70.0,36.0,12.0,52.0
3.5,69.0,2014.0,76.0,56.0,6.0,9.0
3.0,53.0,2007.0,66.0,18.0,12.0,40.0
3.5,364.0,2015.0,70.0,56.0,12.0,16.0
3.0,306.0,2016.0,74.0,34.0,11.0,40.0
2.75,7.0,2014.0,65.0,18.0,11.0,60.0
3.5,404.0,2015.0,75.0,56.0,12.0,19.0
3.25,238.0,2011.0,73.0,56.0,12.0,18.0
3.25,168.0,2014.0,66.0,7.0,12.0,29.0
2.5,387.0,2016.0,70.0,56.0,12.0,46.0
3.5,69.0,2013.0,73.0,56.0,11.0,18.0
3.25,105.0,2012.0,64.0,2.0,11.0,64.0
2.0,142.0,2009.0,65.0,56.0,12.0,12.0
4.0,40.0,2011.0,75.0,18.0,6.0,37.0
3.75,318.0,2014.0,80.0,56.0,6.0,67.0
3.5,31.0,2013.0,74.0,4.0,6.0,67.0
3.25,40.0,2014.0,75.0,18.0,12.0,18.0
3.5,305.0,2013.0,85.0,6.0,12.0,4.0
3.25,209.0,2017.0,70.0,56.0,12.0,2.0
3.75,313.0,2007.0,75.0,14.0,8.0,19.0
3.5,317.0,2012.0,66.0,55.0,11.0,25.0
3.25,35.0,2010.0,75.0,56.0,12.0,32.0
3.5,399.0,2011.0,65.0,3.0,8.0,31.0
2.75,386.0,2015.0,77.0,56.0,11.0,37.0
3.25,369.0,2014.0,81.0,14.0,8.0,19.0
3.5,352.0,2014.0,84.0,56.0,12.0,19.0
4.0,181.0,2011.0,74.0,54.0,6.0,67.0
3.0,326.0,2007.0,72.0,56.0,3.0,7.0
3.25,156.0,2015.0,85.0,12.0,12.0,41.0
2.75,288.0,2008.0,65.0,14.0,8.0,19.0
3.0,399.0,2012.0,75.0,3.0,6.0,45.0
3.25,305.0,2013.0,80.0,6.0,12.0,4.0
2.75,179.0,2013.0,100.0,55.0,12.0,18.0
3.75,379.0,2007.0,65.0,18.0,11.0,67.0
3.25,18.0,2016.0,70.0,56.0,12.0,21.0
3.0,241.0,2016.0,72.0,56.0,12.0,16.0
3.25,240.0,2014.0,82.0,56.0,6.0,46.0
4.0,0.0,2013.0,63.0,18.0,12.0,46.0
4.0,391.0,2016.0,70.0,55.0,12.0,9.0
3.75,19.0,2010.0,72.0,55.0,11.0,34.0
3.25,258.0,2014.0,70.0,2.0,12.0,45.0
3.5,28.0,2010.0,71.0,4.0,12.0,19.0
2.25,50.0,2011.0,78.0,29.0,8.0,51.0
3.0,391.0,2014.0,88.0,55.0,11.0,9.0
3.25,231.0,2016.0,75.0,56.0,11.0,68.0
2.75,85.0,2014.0,74.0,56.0,12.0,46.0
2.5,21.0,2012.0,70.0,2.0,12.0,4.0
2.75,402.0,2012.0,72.0,46.0,6.0,46.0
2.75,399.0,2014.0,80.0,3.0,12.0,63.0
3.25,285.0,2009.0,68.0,54.0,12.0,3.0
3.0,64.0,2016.0,75.0,56.0,12.0,3.0
3.25,259.0,2015.0,70.0,14.0,12.0,19.0
4.0,297.0,2006.0,72.0,4.0,6.0,67.0
2.0,267.0,2006.0,73.0,4.0,8.0,69.0
3.25,256.0,2011.0,70.0,38.0,12.0,41.0
2.75,381.0,2009.0,76.0,32.0,11.0,37.0
3.75,18.0,2015.0,70.0,56.0,8.0,19.0
2.75,108.0,2015.0,70.0,2.0,12.0,1.0
3.0,33.0,2011.0,88.0,54.0,6.0,67.0
2.5,379.0,2007.0,85.0,18.0,8.0,69.0
3.0,92.0,2009.0,80.0,7.0,12.0,4.0
3.75,337.0,2015.0,70.0,2.0,11.0,67.0
4.0,40.0,2006.0,75.0,18.0,11.0,67.0
3.25,404.0,2013.0,68.0,56.0,12.0,18.0
3.25,23.0,2012.0,70.0,56.0,12.0,18.0
3.25,346.0,2012.0,75.0,56.0,12.0,18.0
3.0,147.0,2006.0,74.0,54.0,11.0,18.0
3.0,247.0,2006.0,70.0,18.0,8.0,51.0
2.5,40.0,2007.0,75.0,18.0,8.0,19.0
3.25,40.0,2013.0,75.0,18.0,12.0,22.0
3.25,57.0,2010.0,71.0,50.0,11.0,25.0
2.75,269.0,2013.0,75.0,56.0,12.0,46.0
3.75,180.0,2014.0,70.0,7.0,11.0,18.0
3.5,155.0,2011.0,72.0,56.0,12.0,18.0
3.25,100.0,2008.0,72.0,1.0,12.0,3.0
2.75,149.0,2014.0,72.0,55.0,6.0,46.0
3.75,201.0,2012.0,68.0,56.0,11.0,67.0
4.0,19.0,2011.0,72.0,55.0,12.0,28.0
3.0,40.0,2009.0,75.0,18.0,6.0,40.0
3.5,101.0,2015.0,76.0,56.0,12.0,19.0
3.25,113.0,2016.0,75.0,56.0,12.0,3.0
3.0,153.0,2015.0,80.0,4.0,11.0,68.0
2.5,9.0,2013.0,60.0,56.0,12.0,67.0
3.5,57.0,2010.0,71.0,50.0,12.0,67.0
3.5,343.0,2012.0,70.0,7.0,3.0,36.0
2.75,273.0,2015.0,70.0,56.0,11.0,19.0
2.75,404.0,2011.0,73.0,56.0,12.0,18.0
2.75,40.0,2009.0,75.0,18.0,6.0,46.0
3.5,31.0,2013.0,74.0,4.0,11.0,13.0
3.25,305.0,2013.0,75.0,6.0,12.0,4.0
3.75,229.0,2013.0,72.0,56.0,12.0,29.0
2.75,179.0,2010.0,70.0,55.0,11.0,67.0
3.75,43.0,2014.0,70.0,56.0,11.0,2.0
3.0,321.0,2013.0,70.0,56.0,12.0,18.0
2.75,359.0,2013.0,70.0,56.0,12.0,18.0
3.5,8.0,2017.0,70.0,35.0,11.0,68.0
3.5,337.0,2017.0,70.0,2.0,12.0,18.0
2.75,381.0,2009.0,72.0,32.0,11.0,37.0
3.25,289.0,2015.0,70.0,7.0,12.0,3.0
4.0,326.0,2012.0,78.0,56.0,12.0,46.0
3.0,124.0,2008.0,88.0,4.0,8.0,69.0
3.25,78.0,2014.0,82.0,19.0,11.0,2.0
3.25,60.0,2015.0,74.0,57.0,12.0,67.0
2.75,395.0,2017.0,70.0,56.0,12.0,37.0
3.25,198.0,2014.0,72.0,56.0,11.0,37.0
2.5,91.0,2015.0,65.0,56.0,11.0,40.0
3.5,238.0,2012.0,73.0,56.0,3.0,46.0
3.5,33.0,2011.0,72.0,54.0,12.0,67.0
3.25,233.0,2016.0,75.0,7.0,12.0,63.0
2.75,179.0,2013.0,100.0,55.0,12.0,46.0
3.5,39.0,2016.0,75.0,56.0,12.0,57.0
3.0,39.0,2016.0,75.0,56.0,12.0,18.0
3.0,111.0,2012.0,70.0,56.0,12.0,12.0
3.0,35.0,2008.0,71.0,56.0,11.0,37.0
2.75,278.0,2016.0,100.0,36.0,12.0,50.0
2.5,300.0,2012.0,76.0,56.0,12.0,18.0
2.75,220.0,2013.0,70.0,56.0,12.0,40.0
3.25,44.0,2015.0,60.0,56.0,12.0,37.0
4.0,324.0,2006.0,70.0,9.0,8.0,9.0
1.5,338.0,2011.0,67.0,56.0,8.0,23.0
4.0,297.0,2007.0,70.0,4.0,3.0,67.0
1.5,62.0,2008.0,91.0,14.0,8.0,19.0
2.75,279.0,2015.0,70.0,56.0,11.0,60.0
3.75,215.0,2014.0,70.0,56.0,12.0,29.0
3.25,278.0,2014.0,88.0,36.0,12.0,45.0
2.75,22.0,2015.0,70.0,39.0,12.0,46.0
3.0,231.0,2015.0,72.0,56.0,12.0,57.0
3.5,103.0,2012.0,85.0,19.0,8.0,23.0
3.5,238.0,2011.0,70.0,56.0,11.0,2.0
2.75,220.0,2011.0,70.0,56.0,12.0,12.0
2.75,145.0,2010.0,75.0,56.0,12.0,4.0
2.75,397.0,2016.0,70.0,3.0,10.0,19.0
3.75,343.0,2014.0,70.0,7.0,8.0,46.0
3.5,398.0,2011.0,68.0,2.0,12.0,3.0
3.75,136.0,2011.0,75.0,5.0,12.0,3.0
2.75,84.0,2016.0,70.0,56.0,12.0,62.0
4.0,33.0,2011.0,72.0,54.0,12.0,19.0
2.5,354.0,2016.0,61.0,12.0,6.0,46.0
2.5,21.0,2012.0,70.0,2.0,3.0,63.0
3.0,360.0,2015.0,70.0,30.0,12.0,9.0
3.75,337.0,2015.0,67.0,2.0,12.0,57.0
2.75,37.0,2014.0,70.0,55.0,11.0,34.0
3.5,112.0,2011.0,60.0,22.0,12.0,27.0
3.5,393.0,2011.0,70.0,56.0,12.0,18.0
3.0,43.0,2013.0,72.0,56.0,11.0,18.0
4.0,14.0,2007.0,70.0,29.0,6.0,67.0
3.0,147.0,2006.0,65.0,54.0,6.0,67.0
2.75,54.0,2014.0,69.0,9.0,12.0,9.0
2.5,50.0,2014.0,75.0,29.0,12.0,13.0
2.0,385.0,2007.0,100.0,56.0,8.0,19.0
3.75,267.0,2008.0,67.0,4.0,11.0,60.0
2.5,293.0,2013.0,55.0,39.0,12.0,46.0
2.75,227.0,2014.0,74.0,56.0,12.0,67.0
3.5,399.0,2012.0,58.0,3.0,12.0,63.0
3.0,288.0,2008.0,72.0,14.0,8.0,19.0
3.25,58.0,2015.0,70.0,30.0,12.0,46.0
3.0,92.0,2009.0,70.0,7.0,6.0,67.0
3.25,343.0,2016.0,70.0,7.0,12.0,19.0
3.5,343.0,2014.0,80.0,7.0,8.0,19.0
3.25,254.0,2013.0,73.0,56.0,11.0,2.0
3.25,25.0,2016.0,65.0,56.0,12.0,19.0
3.5,168.0,2014.0,70.0,7.0,11.0,63.0
2.75,28.0,2010.0,64.0,4.0,12.0,46.0
3.0,372.0,2014.0,72.0,56.0,12.0,18.0
2.75,179.0,2008.0,75.0,55.0,12.0,57.0
3.5,0.0,2015.0,70.0,18.0,12.0,59.0
3.25,9.0,2013.0,60.0,56.0,12.0,46.0
3.5,203.0,2012.0,66.0,18.0,12.0,18.0
3.5,220.0,2012.0,70.0,56.0,12.0,29.0
3.75,157.0,2016.0,74.0,56.0,2.0,3.0
2.5,143.0,2011.0,55.0,56.0,12.0,46.0
4.0,10.0,2010.0,70.0,56.0,12.0,19.0
3.0,0.0,2013.0,70.0,18.0,12.0,5.0
2.5,50.0,2011.0,70.0,29.0,11.0,60.0
3.0,103.0,2009.0,72.0,19.0,6.0,46.0
2.75,363.0,2012.0,70.0,56.0,12.0,37.0
3.0,14.0,2007.0,70.0,29.0,11.0,34.0
2.75,10.0,2008.0,70.0,56.0,12.0,32.0
3.5,259.0,2015.0,85.0,14.0,12.0,19.0
3.0,209.0,2015.0,70.0,56.0,12.0,12.0
3.0,326.0,2007.0,75.0,56.0,3.0,7.0
3.5,154.0,2017.0,70.0,56.0,12.0,46.0
3.25,54.0,2014.0,70.0,9.0,12.0,9.0
4.0,43.0,2014.0,70.0,56.0,11.0,67.0
3.0,350.0,2015.0,70.0,56.0,12.0,16.0
3.75,1.0,2010.0,75.0,6.0,8.0,4.0
3.5,76.0,2011.0,70.0,18.0,12.0,63.0
3.0,103.0,2008.0,72.0,19.0,6.0,67.0
3.25,315.0,2016.0,70.0,49.0,12.0,12.0
3.0,70.0,2014.0,70.0,56.0,12.0,3.0
3.25,49.0,2014.0,72.0,56.0,11.0,2.0
2.75,228.0,2014.0,70.0,9.0,12.0,9.0
2.75,194.0,2009.0,70.0,18.0,12.0,63.0
2.75,42.0,2014.0,70.0,56.0,12.0,18.0
3.0,342.0,2013.0,70.0,56.0,11.0,37.0
3.5,245.0,2014.0,72.0,53.0,11.0,37.0
2.5,83.0,2016.0,90.0,56.0,12.0,46.0
2.25,321.0,2013.0,84.0,56.0,12.0,18.0
3.5,59.0,2014.0,75.0,57.0,11.0,67.0
3.0,302.0,2006.0,75.0,18.0,11.0,64.0
3.0,157.0,2013.0,75.0,56.0,12.0,19.0
3.0,215.0,2013.0,71.0,56.0,12.0,29.0
2.75,307.0,2015.0,75.0,56.0,8.0,10.0
3.0,179.0,2008.0,72.0,55.0,8.0,51.0
3.5,260.0,2015.0,70.0,56.0,12.0,41.0
3.5,299.0,2014.0,73.0,56.0,12.0,19.0
3.75,19.0,2012.0,72.0,55.0,12.0,9.0
3.0,110.0,2015.0,70.0,55.0,11.0,60.0
3.25,302.0,2006.0,75.0,18.0,8.0,23.0
3.5,111.0,2013.0,70.0,56.0,12.0,45.0
3.5,388.0,2016.0,70.0,36.0,11.0,18.0
3.5,155.0,2014.0,70.0,56.0,8.0,46.0
4.0,1.0,2010.0,60.0,6.0,8.0,4.0
3.25,396.0,2015.0,70.0,56.0,12.0,46.0
4.0,343.0,2012.0,70.0,7.0,3.0,15.0
3.25,292.0,2016.0,70.0,56.0,12.0,57.0
2.75,65.0,2008.0,77.0,14.0,8.0,19.0
3.5,105.0,2012.0,75.0,2.0,8.0,45.0
3.5,29.0,2016.0,70.0,56.0,12.0,16.0
4.0,277.0,2015.0,75.0,46.0,6.0,46.0
3.0,334.0,2011.0,68.0,29.0,6.0,9.0
3.25,156.0,2012.0,70.0,12.0,6.0,41.0
3.0,289.0,2016.0,72.0,7.0,11.0,2.0
3.75,125.0,2007.0,70.0,29.0,6.0,32.0
3.75,152.0,2014.0,70.0,57.0,12.0,67.0
3.75,337.0,2016.0,70.0,2.0,12.0,2.0
3.25,270.0,2014.0,75.0,56.0,8.0,46.0
2.75,161.0,2016.0,77.0,56.0,12.0,40.0
3.0,125.0,2010.0,70.0,29.0,11.0,67.0
2.75,304.0,2012.0,73.0,29.0,12.0,67.0
3.0,287.0,2012.0,72.0,39.0,12.0,46.0
3.5,326.0,2006.0,70.0,56.0,3.0,63.0
3.0,386.0,2015.0,77.0,56.0,6.0,67.0
3.5,404.0,2014.0,75.0,56.0,11.0,37.0
2.75,6.0,2010.0,75.0,54.0,6.0,37.0
3.5,230.0,2012.0,70.0,41.0,8.0,23.0
3.0,201.0,2009.0,68.0,56.0,12.0,3.0
3.0,286.0,2009.0,60.0,56.0,6.0,29.0
3.25,155.0,2009.0,70.0,56.0,11.0,34.0
2.75,173.0,2016.0,64.0,19.0,12.0,46.0
3.25,322.0,2012.0,69.0,56.0,12.0,8.0
2.75,38.0,2009.0,72.0,50.0,12.0,63.0
2.75,71.0,2009.0,72.0,18.0,12.0,19.0
3.75,326.0,2010.0,65.0,56.0,11.0,37.0
2.5,178.0,2014.0,72.0,48.0,12.0,19.0
3.5,292.0,2015.0,70.0,56.0,12.0,27.0
4.0,0.0,2013.0,70.0,18.0,11.0,67.0
4.0,239.0,2013.0,68.0,2.0,11.0,37.0
3.5,43.0,2013.0,85.0,56.0,11.0,67.0
3.0,235.0,2010.0,65.0,56.0,12.0,12.0
3.75,195.0,2013.0,70.0,56.0,12.0,18.0
3.5,18.0,2016.0,70.0,56.0,12.0,27.0
3.5,231.0,2015.0,70.0,56.0,11.0,19.0
2.75,272.0,2012.0,75.0,37.0,12.0,41.0
3.25,220.0,2012.0,70.0,56.0,6.0,29.0
3.75,239.0,2013.0,70.0,2.0,11.0,43.0
3.25,313.0,2010.0,75.0,14.0,12.0,19.0
3.25,401.0,2015.0,70.0,56.0,12.0,46.0
3.5,234.0,2012.0,78.0,58.0,11.0,68.0
4.0,155.0,2012.0,74.0,56.0,11.0,37.0
3.0,166.0,2009.0,64.0,29.0,8.0,23.0
3.25,103.0,2010.0,72.0,19.0,11.0,25.0
3.5,50.0,2013.0,100.0,29.0,12.0,19.0
3.5,175.0,2016.0,66.0,36.0,6.0,46.0
2.75,288.0,2012.0,85.0,14.0,12.0,19.0
2.0,288.0,2008.0,100.0,14.0,8.0,19.0
2.75,325.0,2011.0,70.0,18.0,8.0,51.0
3.5,343.0,2012.0,70.0,7.0,11.0,27.0
3.25,198.0,2014.0,72.0,56.0,12.0,18.0
2.75,220.0,2010.0,72.0,56.0,12.0,40.0
3.5,363.0,2012.0,70.0,56.0,12.0,18.0
3.0,326.0,2008.0,72.0,56.0,3.0,65.0
3.5,224.0,2013.0,65.0,40.0,11.0,47.0
3.0,67.0,2012.0,72.0,10.0,8.0,12.0
2.75,231.0,2015.0,75.0,56.0,12.0,9.0
3.5,29.0,2016.0,70.0,56.0,6.0,57.0
3.25,399.0,2012.0,68.0,3.0,8.0,10.0
2.5,148.0,2014.0,85.0,56.0,12.0,18.0
3.5,0.0,2012.0,70.0,18.0,12.0,3.0
3.75,343.0,2016.0,70.0,7.0,11.0,41.0
3.0,229.0,2012.0,72.0,56.0,12.0,46.0
3.0,127.0,2011.0,72.0,55.0,12.0,44.0
2.75,347.0,2014.0,72.0,2.0,11.0,64.0
2.75,87.0,2012.0,68.0,46.0,6.0,46.0
3.75,289.0,2014.0,70.0,7.0,11.0,60.0
3.0,215.0,2013.0,72.0,56.0,12.0,29.0
3.75,87.0,2015.0,80.0,46.0,11.0,67.0
1.75,19.0,2010.0,100.0,55.0,12.0,67.0
3.0,254.0,2013.0,72.0,56.0,11.0,2.0
2.5,298.0,2016.0,80.0,56.0,12.0,30.0
4.0,247.0,2006.0,65.0,18.0,11.0,37.0
3.0,35.0,2009.0,75.0,56.0,12.0,18.0
3.5,159.0,2015.0,75.0,19.0,11.0,37.0
3.5,18.0,2016.0,73.0,56.0,11.0,68.0
2.75,376.0,2014.0,74.0,56.0,12.0,41.0
3.25,315.0,2016.0,70.0,49.0,12.0,12.0
3.25,87.0,2012.0,72.0,46.0,6.0,37.0
3.25,108.0,2011.0,70.0,2.0,12.0,1.0
2.5,116.0,2016.0,70.0,48.0,8.0,62.0
2.5,59.0,2014.0,75.0,57.0,12.0,67.0
2.0,168.0,2014.0,100.0,7.0,12.0,63.0
3.5,33.0,2010.0,72.0,54.0,12.0,67.0
3.75,326.0,2009.0,72.0,56.0,11.0,68.0
3.0,197.0,2014.0,60.0,56.0,11.0,18.0
3.0,155.0,2011.0,74.0,56.0,11.0,37.0
3.5,342.0,2013.0,70.0,56.0,3.0,63.0
2.75,93.0,2013.0,42.0,33.0,12.0,39.0
3.25,67.0,2015.0,72.0,10.0,12.0,12.0
3.25,343.0,2014.0,70.0,7.0,11.0,41.0
3.0,381.0,2009.0,70.0,32.0,11.0,37.0
2.5,393.0,2012.0,70.0,56.0,12.0,19.0
2.75,107.0,2016.0,72.0,56.0,12.0,67.0
3.5,259.0,2015.0,63.0,14.0,12.0,19.0
3.25,19.0,2009.0,72.0,55.0,11.0,18.0
2.5,69.0,2013.0,70.0,56.0,6.0,46.0
3.5,230.0,2014.0,85.0,41.0,12.0,9.0
3.0,116.0,2016.0,70.0,48.0,12.0,37.0
3.5,110.0,2015.0,70.0,55.0,12.0,19.0
3.25,90.0,2009.0,75.0,50.0,12.0,63.0
3.5,40.0,2011.0,75.0,18.0,12.0,4.0
3.0,290.0,2016.0,76.0,50.0,12.0,21.0
3.0,44.0,2015.0,60.0,56.0,12.0,18.0
3.5,57.0,2010.0,77.0,50.0,12.0,67.0
3.25,201.0,2012.0,74.0,56.0,12.0,46.0
3.5,75.0,2014.0,70.0,56.0,12.0,12.0
3.0,121.0,2011.0,74.0,56.0,12.0,18.0
3.5,174.0,2014.0,67.0,56.0,0.0,3.0
2.5,118.0,2007.0,66.0,56.0,11.0,37.0
2.5,389.0,2011.0,72.0,36.0,8.0,23.0
3.25,103.0,2013.0,65.0,19.0,8.0,19.0
2.75,343.0,2011.0,70.0,7.0,11.0,25.0
3.0,166.0,2009.0,64.0,29.0,12.0,60.0
2.25,268.0,2015.0,72.0,56.0,6.0,67.0
3.5,209.0,2014.0,70.0,56.0,8.0,46.0
4.0,125.0,2007.0,70.0,29.0,6.0,67.0
3.5,217.0,2010.0,65.0,9.0,12.0,9.0
3.0,324.0,2009.0,70.0,9.0,8.0,9.0
2.75,17.0,2014.0,75.0,18.0,12.0,19.0
4.0,294.0,2007.0,70.0,56.0,11.0,37.0
3.75,247.0,2012.0,66.0,18.0,12.0,40.0
2.75,151.0,2016.0,70.0,47.0,12.0,37.0
3.0,144.0,2014.0,80.0,56.0,11.0,2.0
2.5,193.0,2008.0,85.0,14.0,12.0,19.0
2.75,295.0,2014.0,64.0,55.0,11.0,37.0
3.5,144.0,2014.0,80.0,56.0,12.0,19.0
3.75,43.0,2015.0,68.0,56.0,12.0,18.0
3.0,281.0,2009.0,75.0,56.0,12.0,23.0
2.75,266.0,2014.0,75.0,31.0,11.0,67.0
3.25,161.0,2016.0,77.0,56.0,12.0,27.0
3.25,230.0,2012.0,70.0,41.0,12.0,19.0
3.5,328.0,2015.0,74.0,56.0,6.0,18.0
3.25,379.0,2011.0,56.0,18.0,12.0,63.0
3.75,364.0,2015.0,70.0,56.0,11.0,27.0
2.75,70.0,2014.0,70.0,56.0,12.0,46.0
4.0,343.0,2013.0,67.0,7.0,12.0,46.0
3.0,335.0,2015.0,73.0,7.0,12.0,27.0
3.0,397.0,2016.0,85.0,3.0,6.0,57.0
3.75,289.0,2015.0,72.0,7.0,11.0,68.0
2.75,305.0,2013.0,55.0,6.0,12.0,4.0
3.25,396.0,2015.0,70.0,56.0,12.0,16.0
3.0,393.0,2012.0,70.0,56.0,12.0,12.0
3.5,115.0,2015.0,72.0,6.0,12.0,4.0
3.0,125.0,2006.0,70.0,29.0,11.0,67.0
2.75,30.0,2016.0,83.0,19.0,11.0,2.0
3.5,310.0,2015.0,73.0,56.0,6.0,46.0
2.75,371.0,2011.0,72.0,56.0,12.0,67.0
3.75,87.0,2015.0,69.0,46.0,8.0,46.0
3.5,303.0,2015.0,74.0,55.0,6.0,37.0
3.0,176.0,2009.0,72.0,14.0,8.0,19.0
3.5,191.0,2013.0,70.0,13.0,12.0,18.0
1.75,179.0,2013.0,100.0,55.0,11.0,55.0
3.75,181.0,2011.0,72.0,54.0,6.0,67.0
2.5,267.0,2010.0,70.0,4.0,6.0,45.0
3.5,307.0,2011.0,85.0,56.0,12.0,18.0
3.5,147.0,2006.0,72.0,54.0,8.0,19.0
4.0,294.0,2013.0,67.0,56.0,12.0,46.0
3.5,343.0,2011.0,70.0,7.0,10.0,3.0
3.5,35.0,2009.0,65.0,56.0,11.0,37.0
3.5,125.0,2007.0,70.0,29.0,6.0,37.0
4.0,379.0,2012.0,69.0,18.0,12.0,67.0
2.75,179.0,2010.0,70.0,55.0,12.0,19.0
3.0,69.0,2013.0,70.0,56.0,11.0,3.0
4.0,370.0,2012.0,70.0,18.0,11.0,58.0
3.5,397.0,2016.0,78.0,3.0,11.0,60.0
3.0,302.0,2006.0,75.0,18.0,8.0,4.0
3.5,318.0,2013.0,70.0,56.0,12.0,18.0
3.5,247.0,2007.0,67.0,18.0,8.0,51.0
3.25,343.0,2012.0,70.0,7.0,12.0,28.0
2.5,248.0,2013.0,75.0,56.0,12.0,18.0
2.75,117.0,2008.0,80.0,56.0,12.0,3.0
2.5,103.0,2010.0,72.0,19.0,10.0,19.0
3.25,209.0,2015.0,70.0,56.0,12.0,3.0
3.5,40.0,2016.0,75.0,18.0,12.0,40.0
2.75,9.0,2016.0,60.0,56.0,12.0,41.0
3.5,278.0,2014.0,74.0,36.0,12.0,45.0
2.75,403.0,2013.0,72.0,7.0,12.0,18.0
3.75,289.0,2014.0,78.0,7.0,11.0,37.0
3.5,174.0,2016.0,74.0,56.0,1.0,12.0
4.0,40.0,2008.0,75.0,18.0,6.0,67.0
3.75,127.0,2014.0,76.0,55.0,6.0,41.0
3.25,190.0,2016.0,70.0,56.0,12.0,28.0
3.5,8.0,2017.0,70.0,35.0,8.0,19.0
3.25,19.0,2010.0,72.0,55.0,11.0,68.0
3.75,40.0,2006.0,75.0,18.0,11.0,7.0
3.75,347.0,2016.0,70.0,2.0,12.0,19.0
2.75,155.0,2009.0,80.0,56.0,11.0,34.0
3.0,343.0,2009.0,70.0,7.0,8.0,18.0
3.25,297.0,2010.0,75.0,4.0,11.0,60.0
3.5,212.0,2012.0,68.0,56.0,6.0,3.0
2.5,91.0,2015.0,75.0,56.0,11.0,40.0
2.75,82.0,2015.0,65.0,55.0,6.0,46.0
3.5,174.0,2016.0,77.0,56.0,7.0,19.0
2.75,4.0,2009.0,55.0,14.0,8.0,19.0
3.5,328.0,2015.0,73.0,56.0,8.0,45.0
3.75,103.0,2009.0,70.0,19.0,6.0,67.0
3.25,155.0,2011.0,76.0,56.0,11.0,67.0
3.5,62.0,2008.0,71.0,14.0,8.0,19.0
3.0,286.0,2006.0,60.0,56.0,12.0,29.0
2.75,278.0,2014.0,66.0,36.0,12.0,45.0
